Text,Group,Region,Dimension,Type,Theme,Priority
Asap integrated patient file,1,Bxl,BA,Facilitator,EPD/DEP,0
Staff shortage,1,Bxl,BA,Barrier,Staff and resources + existing organisations,2
Limited resources in the 12 projects,1,Bxl,BA,Barrier,Staff and resources + existing organisations,0
"Insufficient staff, lack of time for coordination around the beneficiary ",1,Bxl,BA,Barrier,Staff and resources + existing organisations,0
Importance of the network with a difficulty financial to set it up and work,1,Bxl,BA,Barrier,Staff and resources + existing organisations,2
Existing structures in the first line from which we can build close to the population (medical houses...),1,Bxl,BA,Facilitator,Staff and resources + existing organisations,0
Paradigm shift: health system centred on hospital,1,Bxl,BA,Barrier,Paradigms and culture,2
Difficulty in making the link between health and social issues: importance of changing representations and promoting inclusion,1,Bxl,BA,Barrier,Paradigms and culture,0
"Pillarisation of the organisation of welfare and care, everyone works in their own silos: cpas, mutu, liberals, social, ...",1,Bxl,BA,Barrier,Paradigms and culture,0
"Clearer guiding common framework, what is essential, what are best practices, what should be in it for the whole of Belgium as a minimum?",1,Bxl,BA,Facilitator,Practical translation,1
"Confusion of concepts, lack of clarity in definitions and outcome factors",1,Bxl,BA,Barrier,Practical translation,0
Social Brussels Care - CDCS = comprehensive directory of actors,1,Bxl,BA,Facilitator,Overview of the offer,0
"Do not forget the essentials for the patient: affordability, accessibility, quality",1,Bxl,BA,Facilitator,Patient central,2
Severe poverty and under-use of services,1,Bxl,BA,Barrier,Patient central,0
Public contract launched for inter-federal plan and governance at meso level,1,Bxl,SG,Facilitator,Institutional complexity,2
"Need for fundamental, clear agreements between federal and federated entities",1,Bxl,SG,Facilitator,Institutional complexity,4
COCOM government agreement,1,Bxl,SG,Facilitator,Institutional complexity,2
Multiplicity of organising powers and competition,1,Bxl,SG,Barrier,Institutional complexity,3
Shared competences between federated entities and the federal government,1,Bxl,SG,Barrier,Institutional complexity,3
Brussels constitutional complexity and division of powers,1,Bxl,SG,Barrier,Institutional complexity,2
Ongoing discussions on state and federal competences,1,Bxl,SG,Barrier,Institutional complexity,2
Other approaches to structure and governance of primary care (BruZEL vs BruSano),1,Bxl,SG,Barrier,Institutional complexity,2
"Choices, e.g. case management for who, when, how, still unclear. some projects have been running for over 10 years",1,Bxl,SG,Facilitator,Framework and funding for pilot projects,0
Funding and continuity of pilot projects,1,Bxl,SG,Barrier,Framework and funding for pilot projects,0
No opportunity for creativity in the implementation of pilot projects,1,Bxl,SG,Barrier,Framework and funding for pilot projects,0
Lack of concordance between the pilot projects,1,Bxl,SG,Barrier,Framework and funding for pilot projects,2
Bottom-up initiatives such as 'asbl réseau de soins intégrés Brussels',1,Bxl,SG,Facilitator,Coordination of local initiatives,1
"Local initiatives (PCSWs, frontline actors, rezone, Brusano)",1,Bxl,SG,Facilitator,Coordination of local initiatives,1
Formalising aid and care pools,1,Bxl,SG,Facilitator,Coordination of local initiatives,1
Brusano multidisciplinary concertation project,1,Bxl,SG,Facilitator,Coordination of local initiatives,1
"Prevention: quite a lot is happening in integrated care projects, but uncoordinated. Need for more global strategy",1,Bxl,SG,Facilitator,Coordination of local initiatives,1
"Brussels - project: perhaps the focus is on cooperation between care providers, which is very good in terms of vision, but what about the direct impact on the patient?",1,Bxl,SG,Barrier,Coordination of local initiatives,1
Limited financial resources,1,Bxl,SG,Barrier,Limited financial resources,1
"Sometimes it seems as if integrated care cannot be worked on without extra financial resources. However, a lot can be done within regular operations (watch out for too many lump sums)",1,Bxl,SG,Barrier,Limited financial resources,1
"It is important to maintain an overview of equivalent supply, equivalent quality throughout Belgium and to adjust governance accordingly",1,Bxl,SG,Facilitator,Shared best practices,1
"Need for more structuring, best practices, what to focus on",1,Bxl,SG,Barrier,Shared best practices,1
Local Social and Health Contracts,1,Bxl,SG,Facilitator,Locoregional population approach,0
Integrated social and health plan,1,Bxl,SG,Facilitator,Locoregional population approach,0
GT Quartier from Brusano,1,Bxl,SG,Facilitator,Locoregional population approach,0
"Model in Flanders (ELZ, Vivel)",1,Bxl,SG,Facilitator,Locoregional population approach,0
